	log_likelihood
1456	371.25455
1457	374.1723
1458	390.09442
1459	276.134
1460	281.23895
1461	310.6591
1462	360.6717
1463	164.80379
1464	332.7727
1465	320.12656
1466	365.41483
1467	322.56577
1468	345.0954
1469	364.74493
1470	351.95865
1471	317.15356
1472	339.7896
1473	301.0472
1474	376.60074
1475	363.21973
1476	375.1132
1477	68.340706
1478	360.21344
1479	348.77493
1480	333.54678
1481	357.9728
1482	375.217
1483	336.0661
1484	245.83224
1485	278.80707
1486	357.00763
1487	312.28644
1488	337.22736
1489	354.79282
1490	390.78873
1491	344.02472
1492	343.63568
1493	382.80243
1494	350.6383
1495	348.70248
1496	350.3409
1497	300.99756
1498	300.59366
1499	317.96338
1500	87.176254
1501	337.74786
1502	357.40277
1503	372.9247
1504	356.26947
1505	250.64226
1506	356.07388
1507	375.76215
1508	387.83838
1509	370.74054
1510	341.76743
1511	379.77264
1512	367.26804
1513	316.26215
1514	324.57733
1515	372.66327
1516	351.1315
1517	354.76642
1518	353.53314
1519	339.60492
1520	396.33252
1521	366.7628
1522	387.94708
1523	379.5945
1524	342.28357
1525	361.80533
1526	344.4575
1527	286.62354
1528	333.16504
1529	356.58856
1530	305.17447
1531	345.25458
1532	360.9025
1533	388.1496
1534	391.56003
1535	97.69517
1536	366.0678
1537	363.24512
1538	343.43097
1539	377.95392
1540	183.2681
1541	359.13715
1542	278.75613
1543	313.53082
1544	338.2146
1545	303.65598
1546	356.70895
1547	372.98303
1548	343.5472
1549	356.11774
1550	307.7249
1551	361.97675
1552	379.9947
1553	400.63217
1554	336.5547
1555	362.0551
1556	351.62796
1557	302.3667
1558	218.707
1559	152.67886
1560	272.62628
1561	-12.415373
1562	322.24982
1563	384.32565
1564	324.97473
1565	353.46295
1566	389.31137
1567	378.64612
1568	353.0491
1569	375.82666
1570	372.1855
1571	353.79865
1572	355.09232
1573	405.71732
1574	356.9414
1575	363.03848
1576	106.07241
1577	329.78088
1578	356.19464
1579	224.96426
1580	192.94208
1581	269.6907
1582	377.00443
1583	319.3213
1584	343.48062
1585	377.40753
1586	402.8181
1587	358.298
1588	310.24545
1589	180.48447
1590	375.8609
1591	371.67407
1592	383.7395
1593	313.1
1594	368.5347
1595	281.9629
1596	388.55002
1597	220.41077
1598	325.41016
1599	361.5885
1600	360.7687
1601	375.32248
1602	372.21225
1603	326.01398
1604	339.97086
1605	301.71567
1606	366.37958
1607	307.09497
1608	226.93442
1609	309.74127
1610	343.19757
1611	358.76834
1612	345.60095
1613	353.93506
1614	350.39023
1615	263.22525
1616	325.78558
1617	314.79892
1618	356.30807
1619	369.674
1620	332.6104
1621	333.8278
1622	310.242
1623	360.85266
1624	362.3104
1625	102.36196
1626	140.89401
1627	358.59064
1628	175.24258
1629	334.26294
1630	361.82367
1631	315.9725
1632	350.6464
1633	349.88663
1634	375.3272
1635	373.70395
1636	356.6036
1637	324.2142
